"Site Name","alachua","arboricola","arubae","barbosai","baueri","beckae","bermudensis","bickleyi","biguttatus","blantoni","butleri","chiopterus","copiosus","crepuscularis","debilipalpis","edeni","floridensis","furens","guttipennis","haematopotus","hinmani","hollensis","insignis","jamaicensis","jonesi","juddi","kirbyi","knowltoni","loisae","loughnani","mississippiensis","mulrennani","nanus","neopulicaris","oklahomensis","ousairani","pallidicornis","paraensis","pechumani","piliferus","pusillus","ryckmani","sanguisuga","sonorensis","spinosus","stellifer","stonei","torreryae","travisi","variipennis","venustus","villosipennis","lon","lat","year.mean.temp","mean.diurnal.range","isotherm","temp.seasonality","max.temp.warm.month","min.temp.cold.month","temp.annual.range","mean.temp.wet.quarter","mean.temp.dry.quarter","mean.temp.warm.quarter","mean.temp.cold.quarter","annual.precip","precip.wettest.month","precip.driest.month","precip.seasonality","precip.wettest.quarter","precip.driest.quarter","precip.warmest.quarter","precip.coldest.quarter","scores","sqrt.scores","heat"
"Eufaula National Wildlife Refuge",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-85.0528623207421,31.991338315241,182,136,43,6674,331,17,314,108,189,264,93,1270,142,56,22,388,225,339,367,0.447239927521353,0.668759992464676,2
"Lowndes County Wildlife Management Area",1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,-85.4324026667692,32.3469250447777,175,130,41,6869,324,11,313,99,183,260,83,1339,157,65,21,410,250,338,381,0.659987040772391,0.812395864571202,6
"Choctaw National Wildlife Refuge",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-88.1836877933497,31.819569124804,181,142,43,6769,335,12,323,106,230,264,90,1501,172,79,20,458,281,357,437,0.669955574517655,0.818508139554919,5
"Upper Delta Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-87.9067560100335,31.1344272946242,189,132,43,6396,333,30,303,118,195,268,104,1591,171,77,18,447,309,440,422,0.67584277208497,0.822096571021294,4
"Mobile-Tensaw Delta Wildlife Management Area",0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-87.9548386098559,30.8084329599634,194,119,41,6320,328,41,287,266,154,271,110,1608,181,79,19,479,318,475,400,0.212457385176838,0.460930998281562,4
"Perdido River Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-87.5343613338932,30.7440161036653,193,119,41,6221,326,41,285,268,154,268,110,1604,180,87,19,491,317,491,394,0.503473842800144,0.709558907209362,4
"Blue Spring Wildlife Management Area",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-86.5760041008545,31.134832067814,181,137,44,6433,326,20,306,260,188,260,95,1562,169,80,18,457,307,457,406,0.656956003695798,0.810528225107428,4
"Geneva State Forest Wildlife Management Area",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-86.1810430836919,31.1479599313031,184,134,43,6441,329,24,305,263,190,263,98,1511,166,80,19,445,295,445,395,0.170412003150474,0.412809887418499,4
"Barbour Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-85.4569250705515,31.9992988950841,179,129,42,6705,324,17,307,103,186,261,88,1321,155,63,21,404,242,348,373,0.72725158516792,0.852790469674656,2
"Yates Lake West Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-85.9081160175195,32.6457524436384,169,131,41,6904,319,3,316,91,221,254,76,1446,172,73,21,450,274,346,419,0.464146175131595,0.681282742429012,8
"Coosa Wildlife Management Area",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-86.3855401824132,32.8976693866019,167,134,41,7009,322,0,322,89,219,253,73,1429,166,74,20,442,277,335,414,0.67742807574902,0.823060189627113,6
"Hollins Wildlife Management Area",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-86.1121317402233,33.157270632148,160,138,42,7060,318,-10,328,81,212,247,65,1469,174,80,20,455,285,345,419,0.820301823812962,0.905705152802479,5
"Cahaba River Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-86.989086427541,33.1448148941188,167,131,40,7177,325,-1,326,88,220,257,72,1476,166,78,19,451,276,348,425,0.568939219098449,0.754280597058183,6
"Oakmulgee Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-87.3793933272072,32.9439978038708,172,127,39,7151,327,6,321,93,224,261,77,1428,155,80,18,437,274,332,414,0.712403355253737,0.8440399014583,6
"David K. Nelson (Demopolis) Wildlife Management Area",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-87.8136106411923,32.5343831860828,175,132,40,7058,331,7,324,97,228,262,81,1387,160,80,21,432,264,312,406,1.03435902134577,1.01703442485777,2
"Scotch Wildlife Management Area",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-87.9154354059545,31.8526717403993,178,140,43,6785,333,11,322,103,228,262,88,1509,175,79,20,460,284,364,434,0.80095327472069,0.894959929114533,3
"Fred T. Stimpson Wildlife Management Area",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,-87.8684045324863,31.384862021366,184,139,44,6525,333,20,313,111,191,264,97,1564,173,77,19,459,298,406,434,0.994615904569678,0.997304318936641,3
"Boykin Wildlife Management Area",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-88.1715829849715,31.1906709611025,186,134,43,6468,331,24,307,113,191,265,99,1598,171,79,18,450,313,431,427,0.680318765115792,0.824814382219292,3
"Grady Keith Property",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-91.8182404049981,33.1999199385657,169,131,38,7577,334,-8,342,124,223,263,67,1395,143,81,17,396,264,296,390,0.723972692646523,0.850865848795521,4
"Daniels Preserve @ Spanish Creek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.6014023864314,26.7336976725335,227,125,53,3962,333,100,233,273,184,274,173,1311,233,41,63,633,138,575,148,-0.803083301492275,NA,1
"Alva Scrub Sanctuary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.6498079674911,26.7357757046323,228,124,53,3983,333,102,231,274,184,275,174,1310,231,40,63,634,136,581,147,-1.22027480994421,NA,1
"Bird Rookery Swamp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.6160861716938,26.3350587634336,231,118,53,3745,331,111,220,275,191,276,180,1329,235,37,67,646,129,610,138,-1.93875670015059,NA,0
"Flag Pond Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.755336248935,26.5387499902311,232,117,52,3864,331,110,221,276,190,277,179,1343,234,38,67,658,131,623,142,-1.82285557345311,NA,1
"Gator Hole Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7202440154628,26.4586387869545,231,118,53,3801,330,111,219,274,190,275,179,1340,234,38,67,655,131,621,141,-1.98554940792303,NA,1
"Wild Turkey Strand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.6875066194817,26.5325975991885,231,119,53,3844,331,109,222,275,189,275,178,1336,235,38,66,653,131,612,141,-1.82285557345311,NA,1
"Pinelands Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.4180008455631,27.1886021181612,225,115,50,4186,328,101,227,274,179,274,168,1308,226,39,60,615,168,615,188,-1.82285557345311,NA,0
"Cape Haze Management Area",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.2202617367159,26.8464234699982,229,114,51,3997,330,109,221,275,185,276,175,1261,210,37,61,594,149,584,166,-0.842242146159713,NA,0
"Collier Seminole State Park",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.715763399698,26.0053369077978,234,109,52,3584,328,120,208,275,196,277,186,1299,222,37,67,619,125,610,133,-2.7931583649643,NA,0
"Fisheating Creek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.3337500371278,26.9377657659369,225,129,53,4026,335,96,239,271,181,272,170,1244,216,42,59,585,140,526,150,-1.82285557345311,NA,1
"Infinity Aggregate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.6995807725793,26.9448604308824,226,126,54,4040,331,98,233,272,181,273,171,1285,220,43,60,610,142,562,156,-1.93875670015059,NA,0
"Lovers Key State Park",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8762915425865,26.4015622189397,233,114,52,3788,331,115,216,277,192,278,182,1329,224,39,67,645,131,629,143,-3.66505649403994,NA,1
"Ewenity Farm",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-82.3209012704432,27.4292723209798,222,121,51,4303,329,93,236,272,175,272,164,1359,233,37,62,654,168,642,195,-0.213796394312438,NA,3
"Prairie River Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8151477114482,27.1003293724755,225,124,53,4087,330,97,233,271,180,272,169,1289,211,45,58,599,148,563,164,-0.418110988655478,NA,3
"Little Manatee River State Park",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.3554289038641,27.6926595127397,223,112,48,4420,327,97,230,274,174,274,163,1256,212,37,58,580,164,580,196,-0.960678202220514,NA,4
"RV Griffin Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-82.0435170739969,27.0767569649843,226,121,52,4112,330,100,230,273,181,274,170,1297,208,41,60,613,153,584,172,-0.691236373686407,NA,3
"BR Bar Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-81.1365752778589,26.1060213029234,232,115,53,3557,329,116,213,272,194,274,183,1345,247,38,64,639,133,583,133,-1.69689931631344,NA,2
"Prairie Shell Creek",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.964835429282,26.9189867628858,228,120,52,4060,332,104,228,275,183,276,173,1261,211,37,61,604,144,566,161,-1.0259589867733,NA,0
"Paynes Creek Historic State Park",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8114710690646,27.6216569206397,224,128,53,4293,335,94,241,274,176,274,166,1274,208,47,57,590,156,545,183,-0.572687657179005,NA,0
"FFA 480 Land Lab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-81.1057108481574,26.7272924936772,228,122,53,3887,331,103,228,272,185,273,174,1220,208,39,57,559,137,503,142,-0.803083301492275,NA,2
"McDaniel Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.0430334304465,26.3985697816966,229,120,54,3666,330,108,222,271,179,272,179,1328,237,39,60,617,141,553,141,-1.7583227779503,NA,2
"Prairie Pines Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8760288834039,26.7351693405091,230,118,52,3931,332,109,223,276,187,276,177,1314,224,40,65,639,136,605,151,-1.20883344308649,NA,1
"Flaghole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.08237654898,26.6788408490712,228,122,53,3847,331,104,227,271,186,272,174,1238,213,38,57,567,138,506,142,-1.82285557345311,NA,2
"Nancy Peyton Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.6666364817994,26.1982406635992,233,115,53,3670,330,114,216,274,193,276,182,1324,230,37,67,640,127,618,136,-1.82285557345311,NA,0
"Deer Prairie Creek Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.290932229578,27.0025143857155,227,115,51,4069,329,106,223,274,183,275,172,1273,214,39,60,593,157,588,175,-1.93875670015059,NA,0
"Williams Farms",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7769509442143,27.0368136291325,225,125,53,4075,331,98,233,272,180,273,170,1281,214,44,60,601,146,560,161,-1.04116872837173,NA,0
"Adams Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.5904635844885,27.4334453727183,227,110,50,3851,326,109,217,272,186,272,174,1262,173,48,45,496,167,496,170,-1.20883344308649,NA,0
"E & D Ranch",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-81.8490513666421,27.321571184306,223,125,53,4170,329,94,235,271,177,271,166,1300,207,49,57,595,154,562,174,-0.787308775593108,NA,3
"Caloosahatchee Creeks Preserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8054056187615,26.7158099898067,230,119,53,3952,332,108,224,276,187,276,177,1323,229,40,65,646,134,607,148,-2.00858554756471,NA,1
"Picayune Strand State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.5366935181497,26.0423251762863,233,111,52,3609,328,118,210,274,195,276,184,1325,236,37,68,638,125,612,130,-2.00858554756471,NA,0
"Moya Sanctuary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.5491662948905,26.790430922131,227,127,53,3998,334,98,236,273,183,274,173,1295,231,41,62,621,139,558,148,-1.82285557345311,NA,1
"Bright Hour Ranch",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7446280306098,27.216641922972,223,126,53,4132,330,94,236,271,177,272,167,1279,208,46,57,587,149,552,166,-1.20883344308649,NA,3
"Alafia River State Park",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-82.1377568294016,27.7764864194308,223,119,50,4393,330,96,234,274,174,274,163,1262,202,40,56,586,163,561,194,-0.566825665244815,NA,4
"Longino Ranch",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-82.0794241039337,27.1121328169145,225,122,52,4119,330,99,231,272,180,273,169,1307,210,41,61,619,154,592,174,0.102262771219854,0.319785508145466,0
"Tiger Bay State Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.1698412012678,29.159061180191,212,112,45,4824,325,79,246,269,159,269,147,1295,174,62,41,507,194,497,214,-0.612974371076238,NA,0
